file,ok,total,date,error,lines
uploads\1772887664479-17728876448562309712493608399391.jpg,True,,,,"Wh HVE. im yh thy
(ehun@ boon sti mouW! fader
eet. |
Fature Simi cla fs 03/101892
ore, EER
gloF- Pry esiiad pur poy, ama
certh cada nn. 24h ial
AICH) JFGG4HC4- TO bat.
aha SANTOS,
som 2gszccc
ar ee
55 on"
uploads\1772887734492-17728877191348141214923847109740.jpg,True,,,,"vt Uga r vile
(ch ns sun reds Vg Men genset
Fg 09101082
Fatura Stm-l cada ms:
Qiof P- wy esaads ' r ogame
cortit ‘cada Anay”
site wwe ame am sone at ote ts ae
pe ane caw ee myn tne ip ante
a
&
f :"
uploads\1772887952686-17728879380772821746171518700242.jpg,True,,,,"a
N
”
Qay Ry
ery"
uploads\1772887962274-17728879380772821746171518700242.jpg,True,,,,"a
N
”
Qay Ry
ery"
uploads\1772888321680-17728882974871367497592793960179.jpg,True,,,,"SSE oh en _ ~ “at: SHVEL ) 1 93! WV
) . we k pare ced! wove naciee at)
“ =
* esate = Re
‘Th ‘cada; Eg Mt 09/1016
ae gears es iakoin xsatrtce
: a essad) @or ¢°25°ama
2 E A ‘cado ne Zee /al
eee -1€139%
NL ondhee hands"
uploads\1772890499121-17728904899941825809293283920140.jpg,True,,,,"m kardon
CUIND ay
we
_. 4D
Plas Py,
Cae?” + 2,
ere ow
ae
PUM ty.
ear npe
Trp gn tle,
RARE RED
owe
 ®ae
\
el
¥
s
a
Y
$"
uploads\1772890616916-17728906006374767681291095972718.jpg,True,,,,"?
pes bs
End Ie BY;
r ad 101682
ba"
uploads\1772891716834-17728917000681211801141519337628.jpg,True,,2000,,"CTURA SUMP. TRICAOA
Data a Hore: CORRE:
hg Saide 4316 ~ Bred
“an Vie: 186, Por taged
26-83-@5 08:32:35 Peraze T
MILLENNIUM BCP |
CARTAD: #¥«#3182/14 IC: 91
A000200003101@ VISA
Partner in Péyrents |
CONTACTO
SSADG POR SIBS
ATCUD a i"
uploads\1772892312759-17728923016507440145422389464268.jpg,True,2.45,,,"oe...
aon - Brisa Concesséo §p
“Quinta da Torre da Ag
2785-599 Séo Domingotl
MRC Cascais @ NIPC 7
Capital Social: 75 ¢
FACTURA SIMPLIFICADA '
Recibo: FS es1stedine
Deta @ Mora;
Séida 0316 + £
Via:
Termina} Payamento :
CE-83-05 ag: 235 F
MILLENNIUM
CARTAU: #x«43 ts
AC000006031018 VIS
COMPRA 2,45 @
ALT: 146406 VISA DB
SIBS
Partner in Payments
CONTACTLESS ©
Visa payWave
PROCESSADO POR SIBS
AICUD: JEJXRAYM-002"
uploads\1772892702499-1772892685181852216490614437940.jpg,True,2.45,,,"ger ~ Brisa Concessae
e Quinta da Torte da &
2785-599 Sao Domingo
MCRC Cascais @ NIPC
Capi tal Soctaly
Seida: 8316 - Brag
Via: 106. Por tagel
Er, a: |
Terminal} Pagamento A
C€-03-05 08:32:35 P
MILLENNIUM BCP
CARTAQ: #4443 182/1
ACOG0000031010 VIS
COMPRA 2,45
AUT: 146406 VI§A DB
SIBS
Partner in Payments im
CONTACTLESS
Visa payWave =.
PROCESSADO POR SIBS % &
ATCUD: JBIXRXYM- 000 SQ"
uploads\1772893131253-17728931140606597908939163197396.jpg,True,,,,"¢ a
at INT We Vitae ite . ue 3 . 2 ,
PIMA Naa a, (im hyp a | : 7 oo
MK (an aly @ NIM: ~
Voged taal bs, tags th . ag - |
Rev itn pe ay} it ; | | ¥
etaa Nia: poe
Rat cde WNe .
Vie: toi Nu tage A
U1 iaes - ?
Tet mia] 1
et Oy Ot,
MILL CNNIUN
CART AI):
S18S :
Per tner ini Pyvnente .
CUNTACTLESS
,
Visa payWave F
PROCESSADU PUR SIBS y
ATCUD: JOJXRAYM~-002"
uploads\1772893606985-captura-1772893606146.jpg,True,,,,"x :
Fal
tim on
VEN Con ot
Capt ted Sn 4
FAC se d
fectbe; FS -”
Bete @ tere:
Saide ang -
We: 6 %
le
11 ee a. 4
Ko Ge o
Classe: 2 lie
: he
Termine! P, wi
03-2 at es,
MI LLPWNI IM
CARTAU as ay
A080000083) 5)
ClOPRa 2 95
AUT: 145806
S1BS
Partnar in Paymants|
CONTACTLESS
Visa payWave
PROCESSAD POR ST
ATCUD JOINRXYR~OR
« 4 Er
P@inte Oa tere a : “4
278 900 Ne - Re"
